codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
210020,201212,0,119,0,0,0,0,0,24,0,0,0,0,0,0,143
210080,201212,0,0,0,0,0,1,0,115,0,0,0,0,0,0,116
210090,201212,0,0,0,0,0,5,0,36,0,0,0,0,0,0,41
210173,201212,0,5,0,0,0,6,0,43,5,0,0,0,0,0,59
210190,201212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
210210,201212,0,4,0,0,0,0,0,140,0,0,0,0,0,0,144
210220,201212,0,1,0,0,33,7,0,98,0,0,0,0,0,0,139
210320,201212,0,8,0,1,7,0,5,475,1,0,0,0,0,1,498
210640,201212,0,2,0,0,0,0,0,131,0,0,0,0,0,0,133
211023,201212,0,0,0,0,0,0,0,58,0,0,0,0,0,0,58
211040,201212,0,10,0,0,0,8,0,58,0,0,0,0,0,0,76
211060,201212,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18
211250,201212,0,0,0,0,0,16,0,85,0,0,0,0,0,0,101
211260,201212,0,0,0,0,4,1,0,29,0,0,0,0,0,0,34
220173,201212,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
220213,201212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220255,201212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220420,201212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
220430,201212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220650,201212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220720,201212,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
220755,201212,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
220800,201212,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
220940,201212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
221070,201212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230040,201212,0,0,0,0,0,0,0,75,0,0,0,0,0,0,75
230130,201212,0,0,0,0,0,0,0,34,0,0,0,0,0,0,34
230160,201212,0,0,0,0,0,0,0,61,0,0,0,0,0,0,61
230170,201212,0,0,0,0,0,0,0,80,0,0,0,0,0,0,80
230190,201212,0,0,0,0,0,0,0,76,0,0,0,0,0,0,76
230200,201212,0,0,0,0,0,1,0,78,0,0,0,0,0,0,79
230240,201212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230250,201212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230270,201212,0,0,0,0,0,0,0,78,0,0,0,0,0,0,78
230320,201212,0,0,0,0,0,0,0,65,0,0,0,0,0,0,65
230365,201212,0,0,0,0,0,0,0,77,0,0,0,0,0,0,77
230410,201212,1,1,0,0,0,0,0,70,1,0,0,0,0,0,73
230420,201212,0,0,0,0,0,0,0,75,0,0,0,0,0,0,75
230430,201212,0,0,0,0,0,0,0,72,0,0,0,0,0,0,72
230520,201212,0,0,0,0,0,3,0,76,0,0,0,0,0,0,79
230565,201212,0,0,0,0,0,0,0,75,0,0,0,0,0,0,75
230580,201212,0,0,0,0,0,0,0,38,0,0,0,0,0,0,38
230590,201212,0,1,0,0,0,0,0,77,0,0,0,0,0,0,78
230710,201212,0,0,0,0,0,0,0,29,0,0,0,0,0,0,29
230730,201212,0,0,0,0,0,0,0,71,0,0,0,0,0,0,71
230810,201212,0,0,0,0,0,0,0,79,0,0,0,0,0,0,79
230830,201212,0,0,0,0,0,0,0,78,0,0,0,0,0,0,78
230840,201212,0,0,0,0,0,0,0,76,0,0,0,0,0,0,76
230860,201212,6,0,0,0,0,0,0,51,1,0,0,0,0,0,58
230930,201212,0,0,0,0,0,0,0,76,0,0,0,0,0,0,76
230940,201212,0,2,0,0,0,0,0,78,0,0,0,0,0,0,80
231030,201212,0,0,0,0,0,0,0,74,0,0,0,0,0,0,74
231095,201212,0,0,0,0,0,0,0,79,0,0,0,0,0,0,79
231110,201212,0,0,0,0,0,0,0,74,0,0,0,0,0,0,74
231126,201212,0,1,0,0,0,0,0,70,0,1,0,0,0,0,72
231195,201212,0,0,0,0,0,0,0,78,0,0,0,0,0,0,78
231210,201212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
231220,201212,0,0,0,0,0,0,0,154,1,0,0,0,0,0,155
231320,201212,0,0,0,0,0,0,0,75,0,0,0,0,0,0,75
231325,201212,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20
231330,201212,0,0,0,0,0,0,0,154,0,0,0,0,0,0,154
250090,201212,0,0,0,0,0,0,0,46,0,0,0,0,0,0,46
250120,201212,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14
250400,201212,0,0,0,0,0,0,0,84,0,0,0,0,0,0,84
250415,201212,0,0,0,0,0,0,0,74,0,0,0,0,0,1,75
250600,201212,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
250830,201212,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
250920,201212,0,0,0,0,0,0,0,66,0,0,0,0,0,0,66
251240,201212,0,0,0,0,0,0,0,24,0,0,0,0,0,0,24
251250,201212,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22
251270,201212,0,0,0,0,0,0,0,45,0,0,0,0,0,0,45
251510,201212,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22
251580,201212,0,2,0,0,0,0,0,73,0,0,0,0,0,0,75
251600,201212,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16
260110,201212,0,0,0,0,1,0,0,130,0,0,0,0,0,0,131
